msEntrez,Association,PMID,Source
225432,Autism,,SFARI-Gene_genes
28193,Autism,,SFARI-Gene_genes
19699,Autism,,SFARI-Gene_genes
68703,Autism,,SFARI-Gene_genes
19726,Autism,,SFARI-Gene_genes
24012,Autism,,SFARI-Gene_genes
19744,Autism,,SFARI-Gene_genes
116837,Autism,,SFARI-Gene_genes
242662,Autism,,SFARI-Gene_genes
19762,Autism,,SFARI-Gene_genes
19820,Autism,,SFARI-Gene_genes
71956,Autism,,SFARI-Gene_genes
57751,Autism,,SFARI-Gene_genes
73469,Autism,,SFARI-Gene_genes
268902,Autism,,SFARI-Gene_genes
19883,Autism,,SFARI-Gene_genes
225998,Autism,,SFARI-Gene_genes
110954,Autism,,SFARI-Gene_genes
20112,Autism,,SFARI-Gene_genes
110651,Autism,,SFARI-Gene_genes
56459,Autism,,SFARI-Gene_genes
231004,Autism,,SFARI-Gene_genes
70097,Autism,,SFARI-Gene_genes
212712,Autism,,SFARI-Gene_genes
77980,Autism,,SFARI-Gene_genes
212986,Autism,,SFARI-Gene_genes
20265,Autism,,SFARI-Gene_genes
110876,Autism,,SFARI-Gene_genes
110880,Autism,,SFARI-Gene_genes
20273,Autism,,SFARI-Gene_genes
20274,Autism,,SFARI-Gene_genes
20280,Autism,,SFARI-Gene_genes
15529,Autism,,SFARI-Gene_genes
20356,Autism,,SFARI-Gene_genes
56086,Autism,,SFARI-Gene_genes
240427,Autism,,SFARI-Gene_genes
235626,Autism,,SFARI-Gene_genes
72895,Autism,,SFARI-Gene_genes
84505,Autism,,SFARI-Gene_genes
239122,Autism,,SFARI-Gene_genes
233878,Autism,,SFARI-Gene_genes
81898,Autism,,SFARI-Gene_genes
27029,Autism,,SFARI-Gene_genes
105835,Autism,,SFARI-Gene_genes
237353,Autism,,SFARI-Gene_genes
243961,Autism,,SFARI-Gene_genes
210274,Autism,,SFARI-Gene_genes
58234,Autism,,SFARI-Gene_genes
20466,Autism,,SFARI-Gene_genes
57138,Autism,,SFARI-Gene_genes
20510,Autism,,SFARI-Gene_genes
20511,Autism,,SFARI-Gene_genes
76376,Autism,,SFARI-Gene_genes
78830,Autism,,SFARI-Gene_genes
68066,Autism,,SFARI-Gene_genes
26569,Autism,,SFARI-Gene_genes
243328,Autism,,SFARI-Gene_genes
